NechaG93688	NechaT93688	2615272	2615619	2615620	2615696	2615697	2616194
NechaG94931	NechaT94931	1157933	1157989	1157990	1158036	1158037	1158391
NechaG94931	NechaT94931	1158037	1158391	1158392	1158441	1158442	1158672
NechaG74407	NechaT74407	1491179	1491636	1491637	1491698	1491699	1491753
NechaG74407	NechaT74407	1491699	1491753	1491754	1491809	1491810	1491889
NechaG74407	NechaT74407	1491810	1491889	1491890	1491947	1491948	1492213
NechaG74407	NechaT74407	1491948	1492213	1492214	1492269	1492270	1492588
NechaG74407	NechaT74407	1492270	1492588	1492589	1492646	1492647	1492902
NechaG85861	NechaT85861	1691096	1691737	1691738	1691793	1691794	1692896
NechaG85861	NechaT85861	1691794	1692896	1692897	1692955	1692956	1692998
NechaG85032	NechaT85032	2289302	2290134	2290135	2290268	2290269	2290472
NechaG85032	NechaT85032	2290269	2290472	2290473	2290593	2290594	2290942
NechaG36946	NechaT36946	3823952	3825762	3825763	3825812	3825813	3826041
NechaG48385	NechaT48385	27674	27889	27890	27958	27959	28250
NechaG48385	NechaT48385	27959	28250	28251	28304	28305	28411
NechaG48385	NechaT48385	28305	28411	28412	28477	28478	28636
NechaG48385	NechaT48385	28478	28636	28637	28689	28690	28731
NechaG99752	NechaT99752	3271101	3271401	3271402	3271449	3271450	3274388
NechaG79295	NechaT79295	2736380	2736520	2736521	2736580	2736581	2736820
NechaG79295	NechaT79295	2736581	2736820	2736821	2736869	2736870	2736887
NechaG43284	NechaT43284	2188914	2189040	2189041	2189097	2189098	2191142
NechaG57229	NechaT57229	1935241	1935439	1935440	1935505	1935506	1937863
NechaG90287	NechaT90287	4324780	4324869	4324870	4325010	4325011	4325582
NechaG90287	NechaT90287	4325011	4325582	4325583	4325658	4325659	4325890
NechaG90287	NechaT90287	4325659	4325890	4325891	4325961	4325962	4326105
NechaG96871	NechaT96871	1811193	1811242	1811243	1811295	1811296	1812722
NechaG96871	NechaT96871	1811296	1812722	1812723	1812852	1812853	1813070
NechaG84146	NechaT84146	2886228	2886664	2886665	2886715	2886716	2886971
NechaG101073	NechaT101073	927234	927770	927771	927818	927819	927897
NechaG101073	NechaT101073	927819	927897	927898	927949	927950	928082
NechaG101073	NechaT101073	927950	928082	928083	928137	928138	928225
NechaG101073	NechaT101073	928138	928225	928226	928277	928278	928511
NechaG52478	NechaT52478	2086729	2088368	2088369	2088415	2088416	2088509
NechaG53503	NechaT53503	1001170	1001280	1001281	1001382	1001383	1001728
NechaG53503	NechaT53503	1001383	1001728	1001729	1001778	1001779	1001954
NechaG97892	NechaT97892	64608	64828	64829	64895	64896	65670
NechaG79489	NechaT79489	3456065	3456293	3456294	3456344	3456345	3456553
NechaG79489	NechaT79489	3456345	3456553	3456554	3456605	3456606	3456766
NechaG79489	NechaT79489	3456606	3456766	3456767	3456818	3456819	3456970
NechaG79489	NechaT79489	3456819	3456970	3456971	3457015	3457016	3457116
NechaG79489	NechaT79489	3457016	3457116	3457117	3457166	3457167	3457341
NechaG79489	NechaT79489	3457167	3457341	3457342	3457388	3457389	3457600
NechaG79489	NechaT79489	3457389	3457600	3457601	3457652	3457653	3457852
NechaG79489	NechaT79489	3457653	3457852	3457853	3457915	3457916	3458117
NechaG31166	NechaT31166	2359028	2359053	2359054	2359115	2359116	2359214
NechaG31166	NechaT31166	2359116	2359214	2359215	2359262	2359263	2360295
NechaG57070	NechaT57070	1183311	1183409	1183410	1183525	1183526	1183651
NechaG57070	NechaT57070	1183526	1183651	1183652	1183700	1183701	1184270
NechaG57070	NechaT57070	1183701	1184270	1184271	1184362	1184363	1185645
NechaG90257	NechaT90257	4129732	4129818	4129819	4129945	4129946	4130200
NechaG90257	NechaT90257	4129946	4130200	4130201	4130255	4130256	4130433
NechaG90257	NechaT90257	4130256	4130433	4130434	4130508	4130509	4130756
NechaG90257	NechaT90257	4130509	4130756	4130757	4130823	4130824	4130865
NechaG90257	NechaT90257	4130824	4130865	4130866	4130944	4130945	4130982
NechaG90257	NechaT90257	4130945	4130982	4130983	4131087	4131088	4131151
NechaG102472	NechaT102472	1517121	1517185	1517186	1517299	1517300	1517411
NechaG102472	NechaT102472	1517300	1517411	1517412	1517516	1517517	1517614
NechaG102472	NechaT102472	1517517	1517614	1517615	1517701	1517702	1517970
NechaG81569	NechaT81569	1729578	1730609	1730610	1730666	1730667	1730702
NechaG89483	NechaT89483	11792	13129	13130	13182	13183	13767
NechaG60541	NechaT60541	3670592	3672342	3672343	3672390	3672391	3677243
NechaG60541	NechaT60541	3672391	3677243	3677244	3677295	3677296	3677561
NechaG60541	NechaT60541	3677296	3677561	3677562	3677671	3677672	3677878
NechaG39816	NechaT39816	198639	199112	199113	199166	199167	199698
NechaG39816	NechaT39816	199167	199698	199699	199749	199750	200222
NechaG17138	NechaT17138	530505	530671	530672	530771	530772	531248
NechaG17138	NechaT17138	530772	531248	531249	531301	531302	531689
NechaG58773	NechaT58773	457499	457642	457643	457711	457712	458094
NechaG58773	NechaT58773	457712	458094	458095	458143	458144	458962
NechaG32237	NechaT32237	695283	695418	695419	695467	695468	697155
NechaG92890	NechaT92890	2785236	2785568	2785569	2785621	2785622	2786158
NechaG68059	NechaT68059	480678	481547	481548	481599	481600	481718
NechaG68059	NechaT68059	481600	481718	481719	481775	481776	481979
NechaG33380	NechaT33380	187313	187868	187869	187915	187916	188274
NechaG55997	NechaT55997	27802	28767	28768	28830	28831	29370
NechaG74664	NechaT74664	2402732	2403148	2403149	2403202	2403203	2403277
NechaG78991	NechaT78991	1575036	1575135	1575136	1575196	1575197	1575324
NechaG78991	NechaT78991	1575197	1575324	1575325	1575374	1575375	1577752
NechaG78991	NechaT78991	1575375	1577752	1577753	1577804	1577805	1578040
NechaG78991	NechaT78991	1577805	1578040	1578041	1578092	1578093	1579558
NechaG78991	NechaT78991	1578093	1579558	1579559	1579606	1579607	1580917
NechaG62182	NechaT62182	2783428	2783704	2783705	2783855	2783856	2783992
NechaG62182	NechaT62182	2783856	2783992	2783993	2784046	2784047	2784191
NechaG62182	NechaT62182	2784047	2784191	2784192	2784242	2784243	2784705
NechaG62182	NechaT62182	2784243	2784705	2784706	2784816	2784817	2784904
NechaG62182	NechaT62182	2784817	2784904	2784905	2784984	2784985	2785095
NechaG62182	NechaT62182	2784985	2785095	2785096	2785145	2785146	2785177
NechaG62182	NechaT62182	2785146	2785177	2785178	2785297	2785298	2785441
NechaG100932	NechaT100932	2368195	2368549	2368550	2368620	2368621	2369925
NechaG100932	NechaT100932	2368621	2369925	2369926	2369983	2369984	2370412
NechaG41325	NechaT41325	3438732	3438933	3438934	3438992	3438993	3439238
NechaG41325	NechaT41325	3438993	3439238	3439239	3439287	3439288	3439418
NechaG41325	NechaT41325	3439288	3439418	3439419	3439470	3439471	3440039
NechaG41325	NechaT41325	3439471	3440039	3440040	3440361	3440362	3440635
NechaG32593	NechaT32593	365478	365832	365833	365958	365959	366356
NechaG41782	NechaT41782	3239159	3239195	3239196	3239242	3239243	3239613
NechaG41782	NechaT41782	3239243	3239613	3239614	3239665	3239666	3239824
NechaG41782	NechaT41782	3239666	3239824	3239825	3239873	3239874	3240059
NechaG67962	NechaT67962	214917	216795	216796	216842	216843	217350
NechaG90568	NechaT90568	6224827	6224991	6224992	6225042	6225043	6226063
NechaG90568	NechaT90568	6225043	6226063	6226064	6226110	6226111	6226206
NechaG90568	NechaT90568	6226111	6226206	6226207	6226252	6226253	6226418
NechaG90568	NechaT90568	6226253	6226418	6226419	6226470	6226471	6226639
NechaG80906	NechaT80906	3794297	3795170	3795171	3795233	3795234	3795412
NechaG65434	NechaT65434	1851860	1851977	1851978	1852047	1852048	1852205
NechaG65434	NechaT65434	1852048	1852205	1852206	1852271	1852272	1854898
NechaG65434	NechaT65434	1852272	1854898	1854899	1854954	1854955	1855198
NechaG54017	NechaT54017	1869279	1869574	1869575	1869622	1869623	1870643
NechaG52860	NechaT52860	102111	102430	102431	102480	102481	102611
NechaG52860	NechaT52860	102481	102611	102612	102665	102666	103128
NechaG52860	NechaT52860	102666	103128	103129	103184	103185	103221
NechaG52860	NechaT52860	103185	103221	103222	103276	103277	103420
NechaG105233	NechaT105233	694700	695239	695240	695292	695293	695476
NechaG105233	NechaT105233	695293	695476	695477	695531	695532	695641
NechaG105233	NechaT105233	695532	695641	695642	695692	695693	696172
NechaG105233	NechaT105233	695693	696172	696173	696226	696227	696534
NechaG105233	NechaT105233	696227	696534	696535	696689	696690	696935
NechaG105233	NechaT105233	696690	696935	696936	697375	697376	697431
NechaG45774	NechaT45774	2738069	2738164	2738165	2738217	2738218	2738456
NechaG45774	NechaT45774	2738218	2738456	2738457	2738505	2738506	2738977
NechaG99033	NechaT99033	5911638	5912703	5912704	5912760	5912761	5913089
NechaG99033	NechaT99033	5912761	5913089	5913090	5913183	5913184	5913317
NechaG99033	NechaT99033	5913184	5913317	5913318	5913367	5913368	5913564
NechaG99033	NechaT99033	5913368	5913564	5913565	5913614	5913615	5914052
NechaG88538	NechaT88538	811038	811325	811326	811368	811369	811479
NechaG55588	NechaT55588	52528	52856	52857	52910	52911	53514
NechaG24864	NechaT24864	3167796	3168581	3168582	3168626	3168627	3169115
NechaG88163	NechaT88163	759583	759642	759643	759690	759691	760392
NechaG88163	NechaT88163	759691	760392	760393	760438	760439	761230
NechaG68501	NechaT68501	2265437	2265780	2265781	2265872	2265873	2265954
NechaG68501	NechaT68501	2265873	2265954	2265955	2266041	2266042	2266585
NechaG68501	NechaT68501	2266042	2266585	2266586	2266642	2266643	2267118
NechaG36720	NechaT36720	3285278	3285305	3285306	3285503	3285504	3285578
NechaG36720	NechaT36720	3285504	3285578	3285579	3285736	3285737	3285829
NechaG36720	NechaT36720	3285737	3285829	3285830	3285876	3285877	3286025
NechaG84124	NechaT84124	2830405	2830587	2830588	2830618	2830619	2830780
NechaG80649	NechaT80649	3020086	3020105	3020106	3020256	3020257	3021292
NechaG51414	NechaT51414	131045	131989	131990	132038	132039	132200
NechaG45570	NechaT45570	2938168	2938972	2938973	2939938	2939939	2940253
NechaG45570	NechaT45570	2939939	2940253	2940254	2940316	2940317	2940437
NechaG45570	NechaT45570	2940317	2940437	2940438	2940510	2940511	2940793
NechaG105002	NechaT105002	1166455	1167504	1167505	1167556	1167557	1168037
NechaG105002	NechaT105002	1167557	1168037	1168038	1168090	1168091	1169246
NechaG105002	NechaT105002	1168091	1169246	1169247	1169301	1169302	1169428
NechaG105002	NechaT105002	1169302	1169428	1169429	1169485	1169486	1169573
NechaG74736	NechaT74736	2676742	2677185	2677186	2677279	2677280	2677546
NechaG77791	NechaT77791	2121106	2122264	2122265	2122325	2122326	2123041
NechaG123412	NechaT123412	2765992	2766656	2766657	2766685	2766686	2767234
NechaG123412	NechaT123412	2766686	2767234	2767235	2767280	2767281	2767387
NechaG123412	NechaT123412	2767281	2767387	2767388	2767432	2767433	2768041
NechaG39702	NechaT39702	118533	118748	118749	118784	118785	119630
NechaG72074	NechaT72074	2516915	2517355	2517356	2517405	2517406	2518116
NechaG3141	NechaT3141	6057510	6058190	6058191	6058252	6058253	6058666
NechaG84191	NechaT84191	3053861	3053947	3053948	3054002	3054003	3054104
NechaG84191	NechaT84191	3054003	3054104	3054105	3054206	3054207	3054531
NechaG84191	NechaT84191	3054207	3054531	3054532	3054580	3054581	3055305
NechaG70623	NechaT70623	826879	827123	827124	827182	827183	827439
NechaG70623	NechaT70623	827183	827439	827440	827492	827493	828023
NechaG87982	NechaT87982	197950	198347	198348	198394	198395	198416
NechaG74447	NechaT74447	1620956	1621769	1621770	1621819	1621820	1622082
NechaG48173	NechaT48173	451971	452360	452361	452407	452408	452639
NechaG48173	NechaT48173	452408	452639	452640	452691	452692	452892
NechaG48173	NechaT48173	452692	452892	452893	452940	452941	453512
NechaG95191	NechaT95191	2873376	2873737	2873738	2873800	2873801	2874781
NechaG95191	NechaT95191	2873801	2874781	2874782	2874899	2874900	2875050
NechaG84978	NechaT84978	2141218	2141735	2141736	2142155	2142156	2144624
NechaG84978	NechaT84978	2142156	2144624	2144625	2144715	2144716	2145294
NechaG84978	NechaT84978	2144716	2145294	2145295	2145343	2145344	2145511
NechaG84978	NechaT84978	2145344	2145511	2145512	2145579	2145580	2145814
NechaG88008	NechaT88008	277952	277978	277979	278031	278032	278679
NechaG81156	NechaT81156	501885	502768	502769	502852	502853	503079
NechaG81156	NechaT81156	502853	503079	503080	503139	503140	503948
NechaG50976	NechaT50976	1649152	1649241	1649242	1649290	1649291	1649595
NechaG50976	NechaT50976	1649291	1649595	1649596	1649642	1649643	1650932
NechaG50976	NechaT50976	1649643	1650932	1650933	1651087	1651088	1651448
NechaG44358	NechaT44358	40639	41058	41059	41108	41109	41831
NechaG71581	NechaT71581	584472	584657	584658	584844	584845	585193
NechaG71581	NechaT71581	584845	585193	585194	585249	585250	585715
NechaG71581	NechaT71581	585250	585715	585716	585762	585763	585926
NechaG71581	NechaT71581	585763	585926	585927	585977	585978	586111
NechaG71581	NechaT71581	585978	586111	586112	586159	586160	587787
NechaG53847	NechaT53847	1438917	1439085	1439086	1439135	1439136	1439809
NechaG93054	NechaT93054	3768304	3768565	3768566	3768756	3768757	3769809
NechaG93054	NechaT93054	3768757	3769809	3769810	3769887	3769888	3770123
NechaG78485	NechaT78485	4374540	4376308	4376309	4376364	4376365	4376695
NechaG106006	NechaT106006	3996407	3996695	3996696	3997205	3997206	3997774
NechaG76041	NechaT76041	658244	659388	659389	659454	659455	659553
NechaG76041	NechaT76041	659455	659553	659554	659604	659605	659641
NechaG91432	NechaT91432	3891761	3891818	3891819	3891868	3891869	3892041
NechaG91432	NechaT91432	3891869	3892041	3892042	3892092	3892093	3892127
NechaG91432	NechaT91432	3892093	3892127	3892128	3892173	3892174	3892247
NechaG91432	NechaT91432	3892174	3892247	3892248	3892293	3892294	3892892
NechaG70152	NechaT70152	1702700	1702746	1702747	1702805	1702806	1703715
NechaG82596	NechaT82596	1239430	1239625	1239626	1239675	1239676	1239790
NechaG82596	NechaT82596	1239676	1239790	1239791	1239844	1239845	1239932
NechaG80749	NechaT80749	3315244	3315385	3315386	3315624	3315625	3315659
NechaG80749	NechaT80749	3315625	3315659	3315660	3315760	3315761	3316876
NechaG80749	NechaT80749	3315761	3316876	3316877	3316937	3316938	3317009
NechaG49140	NechaT49140	1198487	1198565	1198566	1198626	1198627	1199987
NechaG49140	NechaT49140	1198627	1199987	1199988	1200297	1200298	1200369
NechaG100554	NechaT100554	2302368	2302409	2302410	2302464	2302465	2303156
NechaG100554	NechaT100554	2302465	2303156	2303157	2303244	2303245	2303578
NechaG100554	NechaT100554	2303245	2303578	2303579	2303634	2303635	2303974
NechaG28766	NechaT28766	536826	537291	537292	537432	537433	537722
NechaG74732	NechaT74732	2666231	2667710	2667711	2667772	2667773	2667919
NechaG74732	NechaT74732	2667773	2667919	2667920	2667970	2667971	2668008
NechaG74732	NechaT74732	2667971	2668008	2668009	2668110	2668111	2668197
NechaG52060	NechaT52060	1045873	1046359	1046360	1046408	1046409	1046797
NechaG34750	NechaT34750	4091176	4091349	4091350	4091398	4091399	4091953
NechaG44194	NechaT44194	2022854	2023628	2023629	2023678	2023679	2024414
NechaG44194	NechaT44194	2023679	2024414	2024415	2024540	2024541	2025330
NechaG44194	NechaT44194	2024541	2025330	2025331	2025372	2025373	2025563
NechaG44194	NechaT44194	2025373	2025563	2025564	2025611	2025612	2025720
NechaG35055	NechaT35055	301870	303379	303380	303439	303440	303708
NechaG82461	NechaT82461	900082	900351	900352	900441	900442	900665
NechaG82461	NechaT82461	900442	900665	900666	900722	900723	900983
NechaG82461	NechaT82461	900723	900983	900984	901042	901043	901148
NechaG82461	NechaT82461	901043	901148	901149	901248	901249	901272
NechaG64964	NechaT64964	6495	7153	7154	7203	7204	8078
NechaG64964	NechaT64964	7204	8078	8079	8126	8127	8235
NechaG64964	NechaT64964	8127	8235	8236	8300	8301	8850
NechaG64964	NechaT64964	8301	8850	8851	8919	8920	9282
NechaG64964	NechaT64964	8920	9282	9283	9341	9342	9711
NechaG64964	NechaT64964	9342	9711	9712	9767	9768	9920
NechaG80653	NechaT80653	3029982	3030148	3030149	3030232	3030233	3031085
NechaG99764	NechaT99764	3361347	3361360	3361361	3361619	3361620	3361946
NechaG99764	NechaT99764	3361620	3361946	3361947	3362011	3362012	3362927
NechaG75386	NechaT75386	5069434	5069542	5069543	5069612	5069613	5070868
NechaG56190	NechaT56190	24791	25021	25022	25070	25071	25251
NechaG56190	NechaT56190	25071	25251	25252	25303	25304	25500
NechaG56190	NechaT56190	25304	25500	25501	25559	25560	25684
NechaG56190	NechaT56190	25560	25684	25685	25745	25746	26184
NechaG56190	NechaT56190	25746	26184	26185	26245	26246	26644
NechaG76700	NechaT76700	2951499	2951642	2951643	2951694	2951695	2952060
NechaG78292	NechaT78292	3841399	3841563	3841564	3841777	3841778	3841801
NechaG78292	NechaT78292	3841778	3841801	3841802	3841949	3841950	3842080
NechaG78292	NechaT78292	3841950	3842080	3842081	3842145	3842146	3842294
NechaG78292	NechaT78292	3842146	3842294	3842295	3842386	3842387	3842484
NechaG93202	NechaT93202	312299	313513	313514	313566	313567	313860
NechaG79565	NechaT79565	3698245	3698460	3698461	3698516	3698517	3699802
NechaG79565	NechaT79565	3698517	3699802	3699803	3699849	3699850	3699999
NechaG79565	NechaT79565	3699850	3699999	3700000	3700045	3700046	3700085
NechaG93212	NechaT93212	346339	346958	346959	347006	347007	347457
NechaG93212	NechaT93212	347007	347457	347458	347504	347505	347726
NechaG51569	NechaT51569	514634	514883	514884	514943	514944	515320
NechaG51569	NechaT51569	514944	515320	515321	515492	515493	515833
NechaG51569	NechaT51569	515493	515833	515834	515904	515905	516121
NechaG51569	NechaT51569	515905	516121	516122	516256	516257	516514
NechaG103954	NechaT103954	192763	193255	193256	193309	193310	193330
NechaG103954	NechaT103954	193310	193330	193331	193383	193384	193552
NechaG103954	NechaT103954	193384	193552	193553	193610	193611	193821
NechaG103954	NechaT103954	193611	193821	193822	194103	194104	194277
NechaG91944	NechaT91944	2261490	2262039	2262040	2262083	2262084	2262225
NechaG91944	NechaT91944	2262084	2262225	2262226	2262272	2262273	2262312
NechaG92156	NechaT92156	3545351	3546310	3546311	3546364	3546365	3546739
NechaG92156	NechaT92156	3546365	3546739	3546740	3546799	3546800	3546832
NechaG92156	NechaT92156	3546800	3546832	3546833	3546896	3546897	3546995
NechaG104068	NechaT104068	1301543	1301665	1301666	1301718	1301719	1302231
NechaG74776	NechaT74776	2800108	2801601	2801602	2801660	2801661	2803835
NechaG42107	NechaT42107	271255	271382	271383	271440	271441	271549
NechaG42107	NechaT42107	271441	271549	271550	271713	271714	271761
NechaG42107	NechaT42107	271714	271761	271762	271835	271836	272249
NechaG42107	NechaT42107	271836	272249	272250	272312	272313	272533
NechaG42107	NechaT42107	272313	272533	272534	272585	272586	272863
NechaG42107	NechaT42107	272586	272863	272864	272974	272975	273162
NechaG42107	NechaT42107	272975	273162	273163	273286	273287	274921
NechaG75537	NechaT75537	5566180	5566378	5566379	5566427	5566428	5566835
NechaG75537	NechaT75537	5566428	5566835	5566836	5566885	5566886	5566985
NechaG75537	NechaT75537	5566886	5566985	5566986	5567037	5567038	5567329
NechaG90778	NechaT90778	966601	968064	968065	968111	968112	968827
NechaG90778	NechaT90778	968112	968827	968828	968881	968882	968906
NechaG85947	NechaT85947	1998637	1998931	1998932	1998984	1998985	1999128
NechaG85947	NechaT85947	1998985	1999128	1999129	1999182	1999183	1999346
NechaG25359	NechaT25359	580733	581297	581298	581375	581376	581761
NechaG33271	NechaT33271	2087248	2087784	2087785	2087835	2087836	2092824
NechaG94810	NechaT94810	417620	417758	417759	417812	417813	418561
NechaG95596	NechaT95596	1894071	1894096	1894097	1894192	1894193	1894323
NechaG95596	NechaT95596	1894193	1894323	1894324	1894402	1894403	1895510
NechaG95596	NechaT95596	1894403	1895510	1895511	1895560	1895561	1896329
NechaG95596	NechaT95596	1895561	1896329	1896330	1896387	1896388	1896924
NechaG74117	NechaT74117	445493	445688	445689	445745	445746	446122
NechaG74117	NechaT74117	445746	446122	446123	446171	446172	447068
NechaG77549	NechaT77549	1148371	1149214	1149215	1149260	1149261	1149698
NechaG77549	NechaT77549	1149261	1149698	1149699	1149745	1149746	1150440
NechaG63560	NechaT63560	1413399	1413939	1413940	1413992	1413993	1414640
NechaG63560	NechaT63560	1413993	1414640	1414641	1414693	1414694	1415359
NechaG26257	NechaT26257	3154667	3155416	3155417	3155468	3155469	3155702
NechaG77065	NechaT77065	4133200	4133969	4133970	4134015	4134016	4134197
NechaG77065	NechaT77065	4134016	4134197	4134198	4134380	4134381	4134879
NechaG77065	NechaT77065	4134381	4134879	4134880	4134929	4134930	4135086
NechaG66821	NechaT66821	3498181	3499171	3499172	3499220	3499221	3500401
NechaG66818	NechaT66818	3492552	3492854	3492855	3492909	3492910	3493669
NechaG66818	NechaT66818	3492910	3493669	3493670	3493723	3493724	3494272
NechaG93752	NechaT93752	2906048	2906216	2906217	2906248	2906249	2906958
NechaG85466	NechaT85466	494898	495186	495187	495317	495318	495810
NechaG85466	NechaT85466	495318	495810	495811	495862	495863	495905
NechaG98403	NechaT98403	16906	16948	16949	16999	17000	17880
NechaG36951	NechaT36951	3877406	3877771	3877772	3877832	3877833	3877961
NechaG65563	NechaT65563	2408280	2408353	2408354	2408473	2408474	2408598
NechaG65563	NechaT65563	2408474	2408598	2408599	2408750	2408751	2408843
NechaG65563	NechaT65563	2408751	2408843	2408844	2408901	2408902	2409055
NechaG65563	NechaT65563	2408902	2409055	2409056	2409108	2409109	2409314
NechaG65563	NechaT65563	2409109	2409314	2409315	2409379	2409380	2409836
NechaG98082	NechaT98082	1220865	1220960	1220961	1221032	1221033	1221033
NechaG98082	NechaT98082	1221033	1221033	1221034	1221161	1221162	1222006
NechaG70849	NechaT70849	501919	502167	502168	502278	502279	503161
NechaG70849	NechaT70849	502279	503161	503162	503211	503212	504653
NechaG70849	NechaT70849	503212	504653	504654	504704	504705	505592
NechaG45381	NechaT45381	1100545	1100801	1100802	1100875	1100876	1102316
NechaG54183	NechaT54183	1391120	1391366	1391367	1391419	1391420	1392659
NechaG54183	NechaT54183	1391420	1392659	1392660	1392712	1392713	1393028
NechaG30592	NechaT30592	5340289	5340606	5340607	5340687	5340688	5342457
NechaG85458	NechaT85458	473555	473648	473649	473677	473678	473952
NechaG84544	NechaT84544	653581	654271	654272	654325	654326	654699
NechaG80290	NechaT80290	1753626	1753914	1753915	1754045	1754046	1754138
NechaG80290	NechaT80290	1754046	1754138	1754139	1754201	1754202	1754257
NechaG78998	NechaT78998	1598831	1599025	1599026	1599089	1599090	1599195
NechaG78998	NechaT78998	1599090	1599195	1599196	1599247	1599248	1599311
NechaG78998	NechaT78998	1599248	1599311	1599312	1599360	1599361	1599427
NechaG88437	NechaT88437	352257	352296	352297	352484	352485	352545
NechaG88437	NechaT88437	352485	352545	352546	352763	352764	352782
NechaG88437	NechaT88437	352764	352782	352783	352939	352940	353409
NechaG88437	NechaT88437	352940	353409	353410	353799	353800	354214
NechaG103240	NechaT103240	5002687	5003070	5003071	5003121	5003122	5004148
NechaG103240	NechaT103240	5003122	5004148	5004149	5004196	5004197	5004741
NechaG103240	NechaT103240	5004197	5004741	5004742	5004800	5004801	5004980
NechaG103240	NechaT103240	5004801	5004980	5004981	5005053	5005054	5005611
NechaG103240	NechaT103240	5005054	5005611	5005612	5005672	5005673	5005796
NechaG85201	NechaT85201	2793528	2793822	2793823	2793873	2793874	2794124
NechaG85201	NechaT85201	2793874	2794124	2794125	2794174	2794175	2794325
NechaG85201	NechaT85201	2794175	2794325	2794326	2794377	2794378	2794421
NechaG85201	NechaT85201	2794378	2794421	2794422	2794484	2794485	2794692
NechaG85201	NechaT85201	2794485	2794692	2794693	2794740	2794741	2794897
NechaG85201	NechaT85201	2794741	2794897	2794898	2794962	2794963	2795272
NechaG79270	NechaT79270	2643899	2644093	2644094	2644153	2644154	2644285
NechaG43698	NechaT43698	1789773	1790023	1790024	1790074	1790075	1790354
NechaG43698	NechaT43698	1790075	1790354	1790355	1790413	1790414	1790707
NechaG83073	NechaT83073	2517190	2517262	2517263	2517442	2517443	2517646
NechaG83073	NechaT83073	2517443	2517646	2517647	2518247	2518248	2518265
NechaG83073	NechaT83073	2518248	2518265	2518266	2518383	2518384	2518533
NechaG83073	NechaT83073	2518384	2518533	2518534	2518636	2518637	2518786
NechaG83073	NechaT83073	2518637	2518786	2518787	2518836	2518837	2518876
NechaG83073	NechaT83073	2518837	2518876	2518877	2518979	2518980	2520054
NechaG69859	NechaT69859	696509	696898	696899	696946	696947	697441
NechaG83045	NechaT83045	2432859	2433983	2433984	2434035	2434036	2434068
NechaG89791	NechaT89791	1045383	1045503	1045504	1045555	1045556	1045886
NechaG89791	NechaT89791	1045556	1045886	1045887	1045945	1045946	1046402
NechaG82125	NechaT82125	3448293	3448337	3448338	3448427	3448428	3448493
NechaG82125	NechaT82125	3448428	3448493	3448494	3448544	3448545	3449081
NechaG82125	NechaT82125	3448545	3449081	3449082	3449257	3449258	3449395
NechaG82125	NechaT82125	3449258	3449395	3449396	3449445	3449446	3449587
NechaG82125	NechaT82125	3449446	3449587	3449588	3449640	3449641	3449709
NechaG82125	NechaT82125	3449641	3449709	3449710	3449764	3449765	3449895
NechaG82125	NechaT82125	3449765	3449895	3449896	3449941	3449942	3449961
NechaG82125	NechaT82125	3449942	3449961	3449962	3450198	3450199	3450229
NechaG82125	NechaT82125	3450199	3450229	3450230	3450313	3450314	3450572
NechaG82125	NechaT82125	3450314	3450572	3450573	3450619	3450620	3450855
NechaG82125	NechaT82125	3450620	3450855	3450856	3450904	3450905	3451371
NechaG82125	NechaT82125	3450905	3451371	3451372	3451674	3451675	3451768
NechaG29794	NechaT29794	969658	969743	969744	969796	969797	971312
NechaG53615	NechaT53615	1250751	1250821	1250822	1250882	1250883	1250985
NechaG53615	NechaT53615	1250883	1250985	1250986	1251046	1251047	1251114
NechaG53615	NechaT53615	1251047	1251114	1251115	1251170	1251171	1251242
NechaG53615	NechaT53615	1251171	1251242	1251243	1251304	1251305	1251448
NechaG53615	NechaT53615	1251305	1251448	1251449	1251505	1251506	1251560
NechaG53615	NechaT53615	1251506	1251560	1251561	1251623	1251624	1251824
NechaG53615	NechaT53615	1251624	1251824	1251825	1251914	1251915	1252102
NechaG53615	NechaT53615	1251915	1252102	1252103	1252156	1252157	1252203
NechaG53615	NechaT53615	1252157	1252203	1252204	1252329	1252330	1252420
NechaG53615	NechaT53615	1252330	1252420	1252421	1252452	1252453	1252747
NechaG60599	NechaT60599	3885452	3885968	3885969	3886015	3886016	3887029
NechaG60599	NechaT60599	3886016	3887029	3887030	3887078	3887079	3887297
NechaG97406	NechaT97406	1887982	1888029	1888030	1888083	1888084	1888626
NechaG97406	NechaT97406	1888084	1888626	1888627	1888674	1888675	1888883
NechaG97406	NechaT97406	1888675	1888883	1888884	1888930	1888931	1889076
NechaG97406	NechaT97406	1888931	1889076	1889077	1889134	1889135	1889391
NechaG97406	NechaT97406	1889135	1889391	1889392	1889438	1889439	1889480
NechaG97406	NechaT97406	1889439	1889480	1889481	1889554	1889555	1889677
NechaG32777	NechaT32777	1749143	1749251	1749252	1749670	1749671	1750542
NechaG80701	NechaT80701	3185922	3186139	3186140	3186185	3186186	3186390
NechaG80546	NechaT80546	2708745	2709785	2709786	2709836	2709837	2709857
NechaG50293	NechaT50293	465854	466087	466088	466139	466140	466524
NechaG50293	NechaT50293	466140	466524	466525	466572	466573	467552
NechaG91486	NechaT91486	4174971	4175114	4175115	4175165	4175166	4176020
NechaG91486	NechaT91486	4175166	4176020	4176021	4176071	4176072	4176188
NechaG91486	NechaT91486	4176072	4176188	4176189	4176248	4176249	4176287
